fips	rate
26001	.167
26003	.12
26005	.132
26007	.139
26009	.147
26011	.158
26013	.243
26015	.105
26017	.123
26019	.12
26021	.135
26023	.14
26025	.124
26027	.114
26029	.139
26031	.086
26033	.116
26035	.168
26037	.094
26039	.137
26041	.115
26043	.12
26045	.103
26047	.122
26049	.158
26051	.165
26053	.133
26055	.12
26057	.137
26059	.172
26061	.102
26063	.148
26065	.116
26067	.134
26069	.164
26071	.117
26073	.085
26075	.149
26077	.112
26079	.143
26081	.117
26083	.119
26085	.175
26087	.181
26089	.09
26091	.161
26093	.136
26095	.132
26097	.061
26099	.181
26101	.126
26103	.101
26105	.129
26107	.13
26109	.125
26111	.102
26113	.15
26115	.142
26117	.176
26119	.189
26121	.16
26123	.138
26125	.156
26127	.152
26129	.127
26131	.138
26133	.153
26135	.191
26137	.147
26139	.128
26141	.16
26143	.146
26145	.129
26147	.19
26149	.139
26151	.178
26153	.127
26155	.152
26157	.163
26159	.132
26161	.093
26163	.183
26165	.183
